ts,total_ms,excel_ms,send_ms,mode,looking_for,raw_line,sent_message
2026-08-18T15:51:03,1161.7,96.9,966.4,3,25-10 / BID,25-10 76+,25-10 76- ㅎㅈ
2026-08-18T15:51:05,881.6,92.4,708.9,3,25-10 / BID,25-10 76+,25-10 76- ㅎㅈ
2026-08-18T15:51:07,866.7,106.3,673.0,3,25-10 / BID,25-10 76+,25-10 76- ㅎㅈ
2026-08-18T15:51:10,1084.4,95.8,878.6,3,25-10 / BID,25-10 76+,25-10 76- ㅎㅈ
2026-08-18T16:11:48,3285.8,2204.9,951.0,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:11:52,875.0,110.5,697.0,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:12:42,1560.7,409.6,1006.8,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:13:15,1076.6,100.6,892.7,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:13:26,872.4,105.3,703.8,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:13:34,883.5,100.7,701.0,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:13:39,837.7,100.8,650.3,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:17:51,1104.3,99.3,935.1,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:18:38,856.8,111.8,679.0,3,25-10 / BID,25-10  755+  100,25-10 755- ㅎㅈ
2026-08-18T16:18:50,1059.1,104.0,887.4,3,25-10 / BID,25-10  755+  100,25-10 755- ㅎㅈ
2026-08-18T16:18:53,851.7,114.7,656.0,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:19:00,908.5,99.7,692.8,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:19:10,813.0,93.8,658.4,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:19:13,935.4,154.9,710.2,3,25-10 / BID,25-10  755+  100,25-10 755- ㅎㅈ
2026-08-18T16:19:42,922.7,136.2,704.5,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:19:45,887.4,118.0,692.7,3,25-10 / BID,25-10  755+  100,25-10 755- ㅎㅈ
2026-08-18T16:19:49,891.7,125.3,698.6,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:20:19,902.7,114.9,679.9,3,25-10 / BID,25-10  755+  100,25-10 755- ㅎㅈ
2026-08-18T16:20:21,832.0,106.9,656.5,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:20:24,895.5,110.2,707.5,3,25-10 / BID,25-10  755+  100,25-10 755- ㅎㅈ
2026-08-18T16:20:35,871.2,113.7,686.9,3,25-10 / BID,25-10  755+  100,25-10 755- ㅎㅈ
2026-08-18T16:20:48,928.7,147.0,687.2,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:20:56,828.4,105.1,657.1,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:21:46,923.5,109.0,731.8,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:22:56,922.4,106.2,688.2,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:22:59,927.2,114.2,717.4,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:23:02,888.0,105.6,657.7,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:23:14,846.1,112.6,664.5,3,25-10 / BID,25-10  755+,25-10 755- ㅎㅈ
2026-08-18T16:27:14,851.3,104.1,677.9,3,25-10 / BID,25-10 755+,25-10 755- ㅎㅈ
